id,count
0,87.7375
1,259.575
2,107.22
4,33.625
5,137.005
10,122.835
11,242.025
12,368.075
15,47.07
17,195.665
18,295.88
23,239.255
25,148.965
26,46.1
31,191.975
39,127.225
40,29.94
41,213.245
42,387.1
43,126.7
51,182.655
52,100.96
54,17.145
60,133.905
61,161.77
62,98.31875
63,26.975
65,87.465
66,124.085
68,188.765
71,97.335
80,31.75
82,68.07
94,146.49
98,248.18
101,40.085
102,154.08
107,156.89
112,250.9
113,90.885
115,58.545
116,109.88
120,161.16
121,45.125
122,322.73
132,207.185
143,98.895
147,58.36
150,14.9
151,93.01
152,209.82
153,93.915
155,182.305
156,144.825
159,158.03
161,117.065
163,45.465
177,153.81
186,18.285
188,17.795
190,102.96
191,88.48
192,280.55
195,305.575
200,138.455
209,318.325
210,16.37
211,219.745
214,229.48291666666668
215,25.68
218,104.48
219,32.59
222,181.505
225,17.165
228,314.675
236,169.83
241,38.915
242,237.02
243,156.06
245,16.265
247,250.02166666666668
251,170.175
252,81.2025
253,85.76
254,92.995
258,308.11
260,49.645
261,154.8
265,84.9
266,280.485
267,326.8
269,158.205
270,61.84
275,95.6175
278,45.935
279,92.74
286,100.345
287,27.745
288,246.74
289,135.4535
293,19.255
294,190.855
297,46.41
302,127.78
303,90.285
304,110.795
307,99.9675
309,16.548
311,157.01
312,153.185
314,199.67
315,181.83
319,136.87083333333334
322,109.475
323,54.58
325,145.955
327,238.67
330,46.665
332,172.475
333,16.445
338,98.51
341,103.19
345,214.35
348,125.935
349,45.9
350,125.63
352,54.625
355,20.84
356,171.745
358,60.96
363,153.645
369,126.365
371,17.67
372,142.25
375,290.24
380,148.74
388,31.17
391,143.39
392,277.68
393,370.035
394,224.57
396,27.895
401,39.215
407,96.51
409,94.93
410,125.085
416,126.93
418,125.575
420,154.525
421,210.665
422,138.55
424,295.415
428,373.985
429,246.655
431,222.365
435,21.914666666666662
439,109.635
441,19.21
447,84.88
449,212.51
451,171.82
452,15.63
454,209.815
458,243.565
463,152.615
467,15.56
470,288.96
471,146.7625
474,289.01
478,13.3
483,125.135
484,180.45
485,93.915
486,145.55
491,99.5175
494,88.62
495,251.03
497,221.915
499,228.84
515,131.305
518,191.805
521,215.555
525,160.195
529,249.435
532,147.095
534,87.16
540,81.505
544,309.66
547,138.59
549,32.56
563,46.06
564,151.285
567,129.8
572,140.005
577,152.03
578,249.86
585,383.145
588,208.125
589,154.675
590,102.69
592,16.645
594,295.895
596,17.145
598,392.21
599,120.34
605,35.185
606,136.645
607,278.825
608,202.15
609,53.13
610,286.445
611,219.945
614,188.005
615,194.01
616,242.84
617,149.84
618,245.18
624,126.895
629,157.085
631,86.645
633,87.7375
637,27.22
638,100.775
643,73.19
644,135.195
645,44.485
646,213.0925
648,154.34
650,37.98
651,227.585
652,277.475
656,138.12
657,14.735
659,103.16
660,240.645
662,97.6625
665,348.195
675,329.79
681,137.71
682,232.415
685,16.536666666666665
686,153.155
689,25.195
696,122.045
703,148.66
704,99.6075
705,187.06875
714,241.365
717,104.375
718,13.3
720,64.015
721,229.705
723,218.88
726,221.875
728,157.335
730,234.135
731,27.725
734,340.41
737,93.735
738,15.03
745,250.835
746,27.725
749,247.425
752,24.96
753,182.96
758,229.44
765,17.2
766,241.805
768,93.01
769,177.46
774,181.325
775,89.07
781,66.765
784,335.72
794,15.18
795,283.13
796,84.035
802,217.405
803,227.585
805,45.9
806,285.51
807,97.0475
809,15.885
810,209.51
812,227.615
814,125.64
818,249.69
819,143.745
825,60.49
836,133.915
